url,description,heji
https://www.douyin.com/video/7346837496459824394,新华社消息｜春分临近，我国春耕备耕由南向北展开,True
https://www.douyin.com/video/7336834520882171186,我国春耕春管由南向北陆续展开 #春耕#海南#安徽#湖北#山东,True
https://www.douyin.com/video/7336906091126590754,我国春耕春管由南向北陆续展开,False
https://www.douyin.com/video/7339745076379192611,"春耕备耕由南向北陆续推进,农业科技为乡村振兴""增色添香""",True
https://www.douyin.com/video/7064570407814188301,春耕开始！#三农服务 #粮食丰收,False
https://www.douyin.com/video/7065249158575213861,我国春耕备耕由南向北陆续展开 主产区抢前抓早忙春管 力促夏粮丰收 #春耕备耕  #夏粮丰收  #冬小麦,False
https://www.douyin.com/video/7336835723456220457,我国春耕春管由南向北陆续展开#春耕,False
https://www.douyin.com/video/7342791719659801907,首席说农气：2024春耕大幕拉启 关于天气的这些事儿要叮嘱 今天开始进入惊蛰节气，我国各地将陆续迎来春耕春播核心时段。关于春耕天气的这些事儿有几条要注意，戳视频了解一下。#春耕春播 #惊蛰节气,True
https://www.douyin.com/video/7337151375488437542,2月19日迎来“雨水”节气，我国春耕春管由南向北陆续展开。,True
https://www.douyin.com/video/7336773801935523107,雨水节气将至，我国粮食主产区备春耕、田间管理正由南向北陆续展开。,False
https://www.douyin.com/video/7337144255040834856,春耕春管由南向北陆续展开 #春耕春管,True
https://www.douyin.com/video/7083406652350729513,多地春播春种有序进行，春管春播由南向北大面积展开。#三农#春播#同城热门 @抖音小助手 @DOU+小助手,False
https://www.douyin.com/video/7346801020497956148,2024《春耕大师课》第一讲 黄淮海地区小麦春季管理技术指导 3月17日 下午3点 敬请收看,False
https://www.douyin.com/video/7337581988141927707,我国春耕春管由南向北陆续展开 #农业,False
https://www.douyin.com/video/7339823734334688531,#水稻种植 #种粮大户 #聚焦三农服务百姓 #服务三农支持三农 #农业种植,False
https://www.douyin.com/video/7219206147792719159,春耕图景上新啦！春日渐暖，万象更新！全国春耕备耕从南到北陆续展开，一年之计在于春，春耕农忙正当时#春耕图景上新,False
https://www.douyin.com/video/7224431344980364600,春回大地，万物复苏，全国春耕备耕从南到北陆续展开。近期，“吉林一号”卫星传回了一组全国各地春耕前后的卫星影像对比图，从太空视角俯瞰春耕锦绣画卷。来源：新华社 #网聚职工正能量争做中国好网民,False
https://www.douyin.com/video/6804904173201673483,#聚焦三农 #农用植保无人机 #春耕 疫情之日，春耕备耕，从南到北，无人机上阵，不负农时不负 @抖音小助手,False
https://www.douyin.com/video/7196654911239605544,春耕备耕由南到北启动 各地铁路保障农资运输。化肥企业保春耕,False
https://www.douyin.com/video/7196646173287910690,"新思想引领新征程丨抢抓农时备春耕 全力以赴提升粮食产能
#新思想引领新征程 #春耕 #提升粮食产能 #奋进新征程 #农村振兴",False
https://www.douyin.com/video/7196626123956964611,春耕备耕由南到北启动全国春耕备耕农资供应充足有保障 #春耕备耕   #农资供应   #农资,False
https://www.douyin.com/video/7072546939266682124,央视《新闻联播》以“春耕备耕由南向北陆续展开”为题，报道了河南心连心化学工业集团股份有限公司助力全国农业春耕备耕、抢抓生产保障春耕肥料供应的生产画面#最新发布 #最新消息 #智能 #新技术新材料 #心连心化肥,False
https://www.douyin.com/video/7339158242649509174,春耕备耕正当时 各地不误农时抓生产#春耕备耕进行中,False
https://www.douyin.com/video/7222917749666794810,卫星带你瞰中国 从南到北，卫星“瞰”中国#春耕,False
https://www.douyin.com/video/7196957397364018443,新思想引领新征程丨抢抓农时备春耕 全力以赴提升粮食产能,False
https://www.douyin.com/video/7207290988614765857,惊蛰是耕种的好时节，气温回升，日照增加，由南向北渐次进入春耕时节。有农谚：“到了惊蛰节，锄头不停歇。”“惊蛰不耙地，好比蒸馍走了气。”#春回大地万物复苏 #春雷惊百虫 #乡村生活记录视频,False
https://www.douyin.com/video/7346577621616037120,水稻集中育秧技术要点 #水稻集中育秧 #春耕备耕进行中 #工厂化育秧 #新农人 #上热门,True
https://www.douyin.com/video/7341280485680762139,不负农时不负春 全国各地春耕备耕忙,False
https://www.douyin.com/video/7195042273124519202,#公务员考试 #事业单位考试 #结构化面试 #公考面试 #数字乡村 随着我国春耕由南向北大面积展开，一些地方的现代化农业技术令人眼前一亮。无人驾驶农机、扦插机器人、植物工厂、数字农田……农业农村信息化的发展，让手机成了“新农具”，数据成了“新农资”，数字乡村建设让种地省心、高产高效。请结合实际，谈谈你的看法。,False
https://www.douyin.com/video/7074897807261453582,不负农时不负春，各地全面推进春耕备耕工作,False
https://www.douyin.com/video/7224067210187263289,【#卫星视角看祖国大地春耕图 】春回大地，万物复苏，全国春耕备耕从南到北陆续展开。近期，“吉林一号”卫星传回了一组全国各地春耕前后的卫星影像对比图，从#太空视角俯瞰春耕锦绣画卷 。,False
https://www.douyin.com/video/7223981960572521786,春回大地，万物复苏，全国春耕备耕从南到北陆续展开。#春耕备耕进行中 #卫星视角下的中国梯田有多美 #无人机视角 @今日头条 @贵州卫视 @贵州共青团 @贵州都市报,False
https://www.douyin.com/video/7200211769682431287,"全国春耕备耕即将由南到北陆续展开
国家发展改革委等14部门
近日印发通知部署做好2023年春耕化肥保供稳价工作#传递正能力",True
https://www.douyin.com/video/7342632954369199396,到了惊蛰，中国南方大部地区进入春耕大忙时节，北方地区也渐渐入春，春耕由南向北渐次展开。“农家无闲人，锄头不停歇”“惊蛰不耙地，好比蒸馍走了气”等农谚生动形象地诠释了这个节气的重要性。#农村生活 #乡野田间 #惊蛰节气 #春天的味道##田间地头走一走,False
https://www.douyin.com/video/7224416582439554343,全国已春播粮食面积超1.6亿亩，从南到北水稻、玉米、大豆播种即将进入高峰期！#乡村振兴#春耕备耕进行中#三农#春耕#农业#新农人计划2023 #粮食#农忙,False
https://www.douyin.com/video/7339303382328282431,南北气候差异，是造物主的恩赐这个季节我们可以南菜北运，也可以岭南育王，岭北插秧#水稻育秧#春耕备耕进行中 #插秧 #水稻种植,False
https://www.douyin.com/video/7347118410079227174,#向“新”而行 春归三晋，万物“耕”新,False
https://www.douyin.com/video/7201784199051824421,#春回大地万物复苏 #二十四节气之雨水 #春耕备耕 央视网消息（新闻联播）：全国春耕备耕正有序展开，各地区各部门压实责任，细化春季田管，确保春播面积，为粮食丰收打好基础。,False
https://www.douyin.com/video/7346387098607340800,3月15日央视《朝闻天下》报道铁岭：标准农田建设全面开工#央媒看铁岭 #春耕备耕进行中 #铁岭 @抖音小助手,False
https://www.douyin.com/video/7220202341620927803,全国春播粮食面积已达1亿亩。#粮食 #三农 #春耕 #春耕备耕正当时 @抖音小助手 @DOU+上热门,False
https://www.douyin.com/video/7199580840035175739,全国春耕备耕即将由南到北陆续展开。国家发展改革委等14部门近日印发通知，部署做好2023年春耕化肥保供稳价工作@喀什发布 @喀什观察 @抖音小助手,False
https://www.douyin.com/video/7214845055687806267,#新农人计划2023 #春耕进行时 #农业种植 #三农 #知识分享 @三农频道-官方账号 @中国三农发布,False
